Port_IDs,ROI,PnL,Sharpe Ratio,MDD,Win Rate,Win Positions,Total Positions,ROI_norm,PnL_norm,Sharpe Ratio_norm,MDD_norm,Win Rate_norm,Composite_Score
3672754654734989568,0.30629035535029003,166.38461131,0.17202059865077216,60.39693281999999,0.7443609022556391,99.0,133.0,0.0001489030447935486,0.19945951802641876,0.0006011203267422037,0.9971695197331522,0.7313623040652479,0.3093021029029115
3733192481840423936,-0.0381032280276861,-210.14630003999997,-0.010562384389007725,2743.12,0.9453125,121.0,128.0,8.084512843985652e-05,0.19230107125982096,0.00028466727380603536,0.8714446799353943,0.942531779661017,0.3202488814912881
3784403294629753856,1.146112962606912,2444.71268849,0.17851451297922066,271.34718097000007,0.8074324324324325,1673.0,2072.0,0.0003148659997243341,0.2427741298304361,0.0006123755871204162,0.9872834131579271,0.7976408612001833,0.3286333652286807
3786761687746711808,0.572874637401229,126.48193777,0.40008746416716323,59.672462220000014,0.9,18.0,20.0,0.00020158454539258712,0.19870090523854195,0.000996406101268738,0.9972034717840506,0.8949152542372881,0.3337427125694382
3788465932399412480,2.1107445647283267,13649.27711351,0.2664065269242696,276.6718330100002,0.9506607929515418,1079.0,1135.0,0.0005054932937795043,0.45579057964022385,0.0007647101348343131,0.9870338752787112,0.9481520197117898,0.4045048445090428
3818233536529843712,1.9912271927169538,5062.41966408,0.24549000605523724,1782.8917354400014,0.8463157894736842,402.0,475.0,0.00048187466759204754,0.2925408700115479,0.0007284575948899623,0.9164454279469985,0.8385013380909903,0.3366433925944613
3826087012661391104,5.626281554794164,63.939215090000005,0.6194886788677673,12.54058053,0.7894736842105263,15.0,19.0,0.0012002220400628527,0.1975118693919559,0.0013766725590403418,0.9994122902593288,0.7787689562890276,0.3166805443520662
3878631538480067329,0.5615175311328627,2410.96359799,0.279026060290575,220.64956045999995,0.7058080808080808,559.0,792.0,0.00019934019176424391,0.24213250636611236,0.0007865823257357352,0.9896593386847641,0.6908491696627289,0.3128165543567403
3879821005658659073,2.6252527965432355,2019.18615952,0.13236428030101763,1734.9812824199994,0.6605504587155964,216.0,327.0,0.0006071687020745368,0.23468419906091315,0.0005323879465331771,0.9186907338841892,0.6432903125485928,0.29322647649497086
3880920727367689984,-0.43949503038011073,-178.97349999000002,-0.06624793807403921,609.39066665,0.9215686274509803,47.0,51.0,1.523413320741472e-06,0.19289371537746766,0.0001881530030087958,0.9714411282789035,0.9175805915586573,0.331614698273933
3886752488982104320,1.11914338962793,3357.31875376,0.27065607240809136,17.235079999999925,0.9351851851851852,202.0,216.0,0.00030953636226740196,0.2601242111655566,0.0007720754523439605,0.9991922842508753,0.9318895166352794,0.354925122105348
3891020560590657281,2.580936932122187,1862.64651833,0.5690703790783597,0.0,1.0,141.0,141.0,0.0005984111481029254,0.2317081334722919,0.0012892874992358756,1.0,1.0,0.35833449365494585
3910887259807777281,4.040815790719022,1200.3891534000002,0.26635232751807303,598.2562899900001,0.3333333333333333,2.0,6.0,0.0008869075604645406,0.2191175759649641,0.0007646161963561884,0.9719629367871883,0.29943502824858753,0.24586373887599475
3910983669796782848,1.5416419994093216,5674.02219153,0.5306057230168765,201.7234222300001,0.8810572687224669,200.0,227.0,0.0003930291345833567,0.30416839912826854,0.0012226205095846874,0.9905463052621448,0.8750093332337788,0.35621822694201843
3911997667197443328,0.04661324519775063,23.185392119999975,0.022233130353741488,251.96572683,0.3076923076923077,4.0,13.0,9.758651656911421e-05,0.19673707491035508,0.00034150850068365174,0.9881917179496552,0.272490221642764,0.23837925799573065
3923766029921022977,0.33556427923843896,658.34263762,0.10048876194660536,218.9682396000001,0.6604938271604939,321.0,486.0,0.0001546880604253218,0.20881241638505346,0.0004771412585382782,0.9897381331747203,0.6432308014228919,0.29728254455271913
3925368433214965504,0.8668421355547098,5553.0917457000005,0.4701626608589976,72.25548066999863,0.8295964125560538,370.0,446.0,0.0002596774262290921,0.3018693205324868,0.001117860519194433,0.9966137732057097,0.8209318233639887,0.34838766107897257
3926423286576838657,0.42932240473952277,1183.80400665,0.08586322129675589,1119.0932,0.9925925925925926,134.0,135.0,0.00017321622985357892,0.21880226615493967,0.0004517922533219569,0.9475541046297196,0.9922159447583176,0.34579973645506834
3930688517098515713,0.3923611040421369,1197.04306763,0.07381894067697067,1403.0651962900001,0.6547619047619048,55.0,84.0,0.00016591206034347064,0.21905396159456583,0.00043091709119515257,0.934245860414211,0.6372074253430186,0.29060914469555077
3932103299427844097,0.6813017053499698,3521.47985604,0.1263200382002342,605.8965708399987,0.6574074074074074,639.0,972.0,0.0002230115425176543,0.26324517275567966,0.0005219120586183569,0.971604877806883,0.6399874450721909,0.3077102769181341
3935808725185052672,0.11753965992920157,1079.43227072,0.05140858619136383,1236.4768800400002,0.6559139784946236,427.0,651.0,0.00011160275913006388,0.2168179947629481,0.0003920754369715116,0.9420529612025623,0.6384180790960452,0.29138147051270497
3936410995029308417,368.86865233531904,10681.514000000001,0.633949431938721,0.0,1.0,6.0,6.0,0.072982973170956,0.39936871991092754,0.0014017359542202877,1.0,1.0,0.418368270461315
3937714876784951296,0.5880596286516759,3160.27909231,0.09619953802434601,1516.600306929999,0.5833333333333334,84.0,144.0,0.0002045853529402127,0.2563781762853362,0.0004697071703098583,0.9289250787907692,0.5621468926553673,0.28790042756055156
3939925275039085824,2.0926733326350795,2271.98039527,0.36840748299957793,78.62181990000022,0.9070598748882931,2030.0,2238.0,0.0005019221169005769,0.23949021637574933,0.0009414983185688659,0.9963154170355994,0.9023341058148164,0.34498376271443865
